ContactID,ObjectType,StartTime,EndTime,Duration,MaxForce,AverageForce,ContactPointX,ContactPointY,ContactPointZ
0,box,4.440681,5.823734,1.383053,0.7763894,0.464914,1.335968,-45.45462,-37.46008
1,box,7.598805,7.765492,0.166687,0.4775191,0.3193646,-146.6379,49.39103,26.25267
2,box,7.940532,7.96564,0.02510738,0.05002902,0.05002902,-117.9523,54.32375,49.86193
3,box,8.265126,9.740337,1.475211,1.252568,0.8239197,-108.0517,36.76867,49.79568
4,box,11.90703,12.92362,1.016593,0.8387822,0.6196939,95.16891,9.48533,31.57859
5,robot2,15.96533,16.18154,0.2162123,2.431882,1.100367,-114.8607,67.30762,-58.46511
6,robot2,16.19844,16.36527,0.1668339,2.230674,1.595235,-116.3002,62.38151,-62.59834
7,box,17.62353,17.86524,0.2417107,2.006854,1.042277,-163.6598,43.20362,20.34959
8,box,18.42351,19.6818,1.258293,1.858368,1.580083,-121.9296,23.19361,38.03933
9,robot2,21.52359,21.78137,0.2577858,2.216446,1.459408,-102.4255,29.37644,-55.42529
10,robot2,21.8066,21.82347,0.01686859,0.6039639,0.6039639,-110.2367,48.25705,-58.12151
11,robot2,21.92324,21.96477,0.04152679,4.593946,4.097141,-114.4732,48.02512,-59.06924
12,robot2,21.98166,22.03979,0.05812454,4.419971,4.31395,-119.4978,61.90202,-58.33123
13,robot2,22.06523,22.08176,0.01652908,4.032755,4.032755,-125.6607,74.7459,-55.9637
14,robot2,22.10645,22.23994,0.1334896,3.854445,2.486447,-127.9134,78.00246,-54.99801
15,robot2,22.30659,22.33982,0.03323746,1.688439,1.671173,-121.8032,74.69291,-53.08622
16,robot2,22.38158,22.4232,0.04161835,2.359024,2.195074,-110.5154,70.96876,-51.99295
17,robot1,23.7234,24.18178,0.458374,2.057103,1.68995,69.90984,45.40933,-44.01021
18,robot1,24.19852,24.33979,0.141264,2.118119,1.443442,71.68914,45.51942,-44.23331
19,box,26.32317,27.02304,0.6998672,1.295302,0.967537,80.71964,2.592293,33.67469
20,box,28.96476,29.46534,0.5005779,1.266278,0.9744269,-54.53865,4.915857,25.01868
21,box,32.12349,32.1815,0.05800629,1.089087,0.5616925,-116.8494,43.58089,-31.05356
22,robot2,32.1815,32.52341,0.3419151,2.092865,1.459028,-116.3755,43.73071,-31.59024
23,robot2,32.53954,32.66469,0.1251526,1.919256,1.06252,-102.9693,53.82237,-39.17289
24,box,36.19848,36.66479,0.4663162,0.5955415,0.3861618,85.34206,-19.37249,23.27778
25,box,37.42283,37.86477,0.4419365,0.9108679,0.7010574,-71.85904,-14.55141,22.62129
26,box,38.92278,39.38111,0.4583282,0.2232467,0.1242643,86.93496,-1.921924,25.69299
27,box,42.47026,42.56427,0.0940094,1.707218,1.289517,41.45994,50.61144,6.255005
28,box,42.82275,43.36557,0.5428162,2.518901,1.915961,-40.52283,9.443067,22.97166
29,box,44.56469,44.63931,0.07461548,1.47851,1.347534,-73.00994,46.62349,-34.60847
30,robot2,44.63931,45.12271,0.4834023,1.978501,1.427965,-75.45206,44.00731,-34.7847
31,box,45.23925,45.26452,0.02527618,1.696961,1.696961,-63.6538,29.02855,-36.16422
32,robot1,45.78112,46.12281,0.3416901,2.153941,1.886731,56.50995,24.26602,-27.19798
33,robot1,46.33952,46.38161,0.04209518,3.504663,2.622613,108.9879,25.59588,-18.3179
34,robot1,46.63935,46.82273,0.1833878,1.954972,1.689064,108.6779,25.0014,-22.23924
35,robot1,46.88094,47.02277,0.1418304,2.445874,2.093568,102.3378,34.58056,-28.89965
36,robot1,47.03946,47.181,0.1415443,2.620646,1.888922,98.88485,45.20338,-31.68686
37,robot1,47.5227,47.6065,0.08380508,3.427803,2.845624,57.74959,88.30289,-42.89562
38,box,47.8645,48.00648,0.1419754,1.023463,0.6318682,136.9862,48.67767,1.706244
39,box,48.43965,48.83937,0.3997154,0.5592543,0.4423861,49.25647,23.25606,23.02005
40,box,49.30643,49.80589,0.4994545,1.730968,1.396704,-49.10701,-8.220376,24.04965
41,box,50.33936,50.90572,0.5663567,1.223529,0.8380641,-56.44709,-15.82273,22.2893
42,box,51.43952,52.20585,0.7663269,1.137893,0.8398349,25.66574,-15.01769,23.11838
43,box,53.98115,54.20579,0.2246437,0.3308339,0.2405193,21.2634,-5.070104,18.5845
44,box,54.8236,54.84072,0.01712418,0.1826617,0.1826617,-51.20116,43.65201,18.14784
45,box,54.86498,56.13939,1.27441,2.426636,1.70068,-51.27216,44.25116,13.20197
