TaskTime,BoxRotation,RotationError,BoxPosX,BoxPosY,BoxPosZ,BoxAngVelX,BoxAngVelY,BoxAngVelZ,Robot1PosX,Robot1PosY,Robot1PosZ,Robot2PosX,Robot2PosY,Robot2PosZ,Robot1Speed,Robot2Speed,RobotDistanceDiff,HapticPosX,HapticPosY,HapticPosZ,HapticForceX,HapticForceY,HapticForceZ,ForceMagnitude,IsInContact,ContactType,ContactDuration,Phase,CumulativeError,StabilityMetric
0.02064753,-1.927734,1.927734,-0.0007852796,0.1023588,0.7376484,-0.02733635,-0.006222643,-0.002241757,0.7096456,0.005119778,0.4643543,-0.6910759,0.005581334,0.4167477,0.1153274,0.1095976,1.40153,0.001354765,0.102242,0.717092,0,0,0,0,0,,0,initialization,1.927734,0.005354817
0.04597282,-1.852081,1.852081,-0.001026333,0.1020113,0.7400078,0.01299716,0.002651936,-0.0008169417,0.7096238,0.005350351,0.467087,-0.6910252,0.005623609,0.4190161,0.1200591,0.1188408,1.401474,0.001057226,0.1022393,0.7199265,0,0,0,0,0,,0,initialization,1.889908,0.00514467
0.07124519,-1.923309,1.923309,-0.001271357,0.1022942,0.7423974,0.07973666,-0.02848861,0.0009660936,0.7096077,0.005526103,0.4691412,-0.6909788,0.005555458,0.4216955,0.1269939,0.127619,1.40139,0.0007538237,0.102233,0.7228294,0,0,0,0,0,,0,initialization,1.901042,0.005342526
0.09672356,-1.953461,1.953461,-0.001879946,0.1022565,0.7479921,-0.0647087,-0.02472476,-0.003092351,0.709558,0.005642809,0.4743412,-0.6908765,0.005203776,0.4272692,0.1380454,0.1427231,1.401225,0.0004897974,0.1022291,0.7253671,0,0,0,0,0,,0,initialization,1.914146,0.00542628
0.1216998,-1.867035,1.867035,-0.00216315,0.1021105,0.750779,-0.1195818,0.002463566,-0.006505043,0.7095264,0.005547456,0.477407,-0.6908153,0.004883654,0.4299563,0.1453754,0.1361314,1.401146,0.0001984276,0.1022236,0.7281696,0,0,0,0,0,,0,initialization,1.904724,0.005186208
0.146626,-1.979797,1.979797,-0.002498608,0.1022093,0.7535229,-0.05762673,-0.0339915,-0.003613967,0.7095066,0.00532525,0.480144,-0.6907093,0.004734449,0.4326375,0.1461867,0.1280368,1.401022,-7.231161E-05,0.1022168,0.7307673,0,0,0,0,0,,0,initialization,1.917236,0.005499437
0.1726356,-1.93399,1.93399,-0.002805768,0.1020044,0.7561902,0.01070622,-0.03483472,-0.003859744,0.709485,0.004971273,0.4836429,-0.6906524,0.004677929,0.4346248,0.1565417,0.1107162,1.400995,-0.0003580526,0.1022083,0.733486,0,0,0,0,0,,0,initialization,1.91963,0.005372196
0.1974726,-2.019989,2.019989,-0.003275787,0.1020082,0.7608703,0.1120404,-0.03273075,0.002612014,0.7094231,0.004423328,0.489575,-0.6905791,0.005078517,0.438312,0.1348108,0.09213556,1.400941,-0.00065336,0.102195,0.7362674,0,0,0,0,0,,0,initialization,1.932175,0.005611081
0.2212291,-2.056885,2.056885,-0.003436586,0.1023448,0.7627214,0.1178056,-0.03876264,0.001636045,0.7094059,0.004697248,0.4915894,-0.6905373,0.005277395,0.4404761,0.1121983,0.1024829,1.400876,-0.0009503402,0.1021803,0.7390537,0,0,0,0,0,,0,initialization,1.946031,0.005713569
0.2460895,-2.05481,2.05481,-0.00366241,0.1025765,0.7649292,-0.01924047,0.002359726,-0.002104159,0.7093843,0.004979178,0.493393,-0.6904922,0.005425349,0.4426166,0.1050497,0.1075146,1.400797,-0.001244906,0.1021724,0.7418262,0,0,0,0,0,,0,initialization,1.956909,0.005707805
0.2706518,-2.019562,2.019562,-0.003894393,0.1025434,0.7674347,0.01011258,0.01055232,-0.000992683,0.7093644,0.005223997,0.495298,-0.690447,0.005536109,0.4449025,0.1050411,0.120293,1.400718,-0.00154604,0.1021844,0.7446801,0,0,0,0,0,,0,initialization,1.962605,0.005609894
0.2959709,-1.942383,1.942383,-0.004188396,0.1025477,0.7719208,-0.03784887,0.008954016,-0.003632472,0.7093115,0.005570017,0.4997306,-0.6903478,0.005529895,0.4498656,0.1145033,0.1262055,1.400547,-0.001849536,0.1022101,0.7475871,0,0,0,0,0,,0,initialization,1.96092,0.005395508
0.3207254,-2.046539,2.046539,-0.00447632,0.1026244,0.7745904,-0.1991786,0.0006739274,-0.01005486,0.7092863,0.005634412,0.5017715,-0.6902881,0.005358487,0.4528622,0.1186284,0.1388272,1.400429,-0.002137765,0.1022423,0.750414,0,0,0,0,0,,0,initialization,1.967506,0.005684831
0.3459349,-1.935791,1.935791,-0.004612852,0.1021829,0.7771406,-0.1177366,0.003320188,-0.005727856,0.7092428,0.005631089,0.5050347,-0.6902439,0.005101368,0.4551654,0.1378797,0.1228785,1.400375,-0.002427612,0.1022781,0.7533259,0,0,0,0,0,,0,initialization,1.96524,0.005377197
0.3716497,-2.047699,2.047699,-0.004891679,0.1023271,0.7798986,0.05222355,-0.06749818,0.0007888009,0.7092097,0.005523443,0.5075296,-0.690179,0.005055152,0.4577327,0.1407921,0.1256265,1.400275,-0.002712015,0.1023006,0.756264,0,0,0,0,0,,0,initialization,1.970738,0.005688053
0.3959632,-2.136902,2.136902,-0.005398133,0.1021304,0.7849261,-0.1314586,-0.03062734,-0.007907754,0.7091218,0.004912607,0.5139757,-0.690066,0.004979029,0.4621141,0.1528811,0.1059093,1.400149,-0.002990562,0.1023143,0.7591984,0,0,0,0,0,,0,initialization,1.981123,0.005935838
0.4208317,-2.111603,2.111603,-0.005520497,0.102351,0.7871078,0.0437336,-0.0314723,0.0005781343,0.7090808,0.004517123,0.5165998,-0.690035,0.005080603,0.4638292,0.1301327,0.09409525,1.400111,-0.003272463,0.1023167,0.7621958,0,0,0,0,0,,0,initialization,1.988798,0.005865563
0.4464355,-2.125916,2.125916,-0.005706586,0.1024244,0.7890767,-0.007724755,-0.01773589,-0.002324163,0.7090353,0.004666291,0.519066,-0.6899962,0.005266249,0.4655579,0.1140732,0.09368197,1.400055,-0.003550667,0.102315,0.7651836,0,0,0,0,0,,0,initialization,1.996416,0.005905321
