Timestamp,PosX,PosY,PosZ,RotX,RotY,RotZ,VelX,VelY,VelZ,Speed,AngularSpeed,DistanceFromStart,TotalDistance
0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.103,0.000,0.004,-0.001,1.229,0.003,-0.002,0.000,0.000,-0.007,0.007,12.292,0.001,0.001
0.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.203,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.008,0.001,0.001
0.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.311,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
0.412,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.412,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
0.520,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.520,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
0.903,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.903,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
1.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.007,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
1.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.107,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
1.216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.216,0.000,0.004,-0.001,1.228,0.003,-0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.001
