Timestamp,Connected,TimeSinceLastReceived,TimeSinceLastSent,IPAddress,Port,ConnectionStatus,MessageRate,AverageLatency,MessagesSent,MessagesReceived,PacketLoss,Stability
0.052316,1,0.001336,0.290644,127.0.0.1,10000,Connected,0.00,0.001336,0,0,0.00,0.00
0.103538,1,0.025395,0.340145,127.0.0.1,10000,Connected,0.00,0.013366,0,0,0.00,0.49
0.154825,1,0.075848,0.390598,127.0.0.1,10000,Connected,0.00,0.034193,0,0,0.00,0.66
0.204917,1,0.126781,0.441531,127.0.0.1,10000,Connected,0.00,0.057340,0,0,0.00,0.74
0.263955,1,0.186259,0.501009,127.0.0.1,10000,Connected,0.00,0.083124,0,0,0.00,0.80
0.327359,1,0.249433,0.564183,127.0.0.1,10000,Connected,0.00,0.110842,0,0,0.00,0.84
0.379672,1,0.300617,0.615367,127.0.0.1,10000,Connected,0.00,0.137953,0,0,0.00,0.86
0.430690,1,0.351639,0.666389,127.0.0.1,10000,Connected,0.00,0.164663,0,0,0.00,0.88
0.487406,1,0.409552,0.724302,127.0.0.1,10000,Connected,0.00,0.191873,0,0,0.00,0.89
0.540806,1,0.463101,0.777851,127.0.0.1,10000,Connected,0.00,0.218996,0,0,0.00,0.90
0.595984,1,0.516931,0.831681,127.0.0.1,10000,Connected,0.00,0.246081,0,0,0.00,0.91
0.654307,1,0.575259,0.890010,127.0.0.1,10000,Connected,0.00,0.273513,0,0,0.00,0.92
0.705750,1,0.627805,0.942555,127.0.0.1,10000,Connected,0.00,0.300766,0,0,0.00,0.93
0.762497,1,0.684609,0.999360,127.0.0.1,10000,Connected,0.00,0.328183,0,0,0.00,0.93
0.812922,1,0.733870,1.048620,127.0.0.1,10000,Connected,0.00,0.355229,0,0,0.00,0.94
0.874724,1,0.795693,1.110443,127.0.0.1,10000,Connected,0.00,0.382758,0,0,0.00,0.94
0.929995,1,0.850942,1.165692,127.0.0.1,10000,Connected,0.00,0.410298,0,0,0.00,0.94
0.987851,1,0.909774,1.224524,127.0.0.1,10000,Connected,0.00,0.438047,0,0,0.00,0.95
1.045509,1,0.967507,1.282257,127.0.0.1,10000,Connected,0.00,0.465913,0,0,0.00,0.95
1.103561,1,1.025477,1.340227,127.0.0.1,10000,Connected,0.00,0.493891,0,0,0.00,0.95
1.153648,1,1.074646,1.389397,127.0.0.1,10000,Connected,0.00,0.521546,0,0,0.00,0.95
1.211847,1,1.132864,1.447614,127.0.0.1,10000,Connected,0.00,0.549334,0,0,0.00,0.96
1.270590,1,1.191537,1.506287,127.0.0.1,10000,Connected,0.00,0.577255,0,0,0.00,0.96
1.328402,1,1.249427,1.564177,127.0.0.1,10000,Connected,0.00,0.605263,0,0,0.00,0.96
1.378466,1,1.299510,1.614260,127.0.0.1,10000,Connected,0.00,0.633033,0,0,0.00,0.96
1.429024,1,1.349973,1.664723,127.0.0.1,10000,Connected,0.00,0.660607,0,0,0.00,0.96
1.479614,1,1.400560,1.715310,127.0.0.1,10000,Connected,0.00,0.688013,0,0,0.00,0.96
1.537410,1,1.458367,1.773117,127.0.0.1,10000,Connected,0.00,0.715525,0,0,0.00,0.97
1.596056,1,0.000021,1.834450,127.0.0.1,10000,Connected,0.00,0.690853,0,0,0.00,0.97
1.654443,1,0.055711,1.890139,127.0.0.1,10000,Connected,0.00,0.669682,0,0,0.00,0.97
1.712213,1,0.113481,1.947909,127.0.0.1,10000,Connected,0.00,0.651740,0,0,0.00,0.97
1.762479,1,0.165045,1.999473,127.0.0.1,10000,Connected,0.00,0.636530,0,0,0.00,0.97
1.820343,1,0.222594,2.057023,127.0.0.1,10000,Connected,0.00,0.623987,0,0,0.00,0.97
1.870661,1,0.271933,2.106361,127.0.0.1,10000,Connected,0.00,0.613632,0,0,0.00,0.97
1.928740,1,0.330008,2.164436,127.0.0.1,10000,Connected,0.00,0.605529,0,0,0.00,0.97
1.978852,1,0.380121,2.214549,127.0.0.1,10000,Connected,0.00,0.599267,0,0,0.00,0.97
2.028971,1,0.430238,2.264667,127.0.0.1,10000,Connected,0.00,0.594699,0,0,0.00,0.97
2.087526,1,0.489767,2.324195,127.0.0.1,10000,Connected,0.00,0.591938,0,0,0.00,0.97
2.145102,1,0.547468,2.381896,127.0.0.1,10000,Connected,0.00,0.590797,0,0,0.00,0.98
2.199274,1,0.600587,2.435016,127.0.0.1,10000,Connected,0.00,0.591042,0,0,0.00,0.98
2.253336,1,0.654609,2.489038,127.0.0.1,10000,Connected,0.00,0.592593,0,0,0.00,0.98
2.304296,1,0.706578,2.541007,127.0.0.1,10000,Connected,0.00,0.595307,0,0,0.00,0.98
2.354706,1,0.755979,2.590408,127.0.0.1,10000,Connected,0.00,0.599043,0,0,0.00,0.98
2.412558,1,0.813825,2.648253,127.0.0.1,10000,Connected,0.00,0.603925,0,0,0.00,0.98
